areacd,origin,destination,nomove,within,fromout,toout,to1cd,to1,to2cd,to2,to3cd,to3,from1cd,from1,from2cd,from2,from3cd,from3
E07000041,59698,76881,25912,25018,0,146,E07000040,3409,E07000042,1335,E07000045,1283,E07000040,9363,E07000045,6002,E07000042,4469
E07000042,40280,35702,18260,11817,0,100,E07000041,4469,E07000040,1591,E07000246,1408,E07000041,1335,E07000040,1028,E07000246,977
E07000043,45170,48042,18311,22654,0,132,E07000046,1707,E07000042,643,E07000041,422,E07000046,4582,E07000042,725,E07000047,263
E07000044,40584,43471,20349,10357,0,255,E06000026,4979,E06000027,1813,E07000045,1178,E06000026,7027,E06000027,2241,E07000045,1721
E07000045,62134,56296,27509,18568,0,167,E07000041,6002,E06000027,4517,E07000044,1721,E06000027,4899,E07000041,1283,E07000044,1178
E07000046,30050,25997,13258,9289,0,64,E07000043,4582,E06000052,981,E07000047,719,E07000043,1707,E06000052,694,E07000047,515
E07000047,25388,23638,12335,6891,0,96,E06000026,1851,E07000041,997,E06000052,860,E06000052,1370,E06000026,968,E07000046,719
E07000061,43835,44153,17503,16970,0,130,E07000065,3879,E07000063,1512,E06000043,902,E07000065,5410,E07000064,1237,E07000063,1069
E07000062,40905,39036,18597,14051,0,83,E07000064,4451,E07000061,830,E07000065,692,E07000064,4129,E07000065,741,E07000061,635
E07000063,44503,43126,22956,9886,0,111,E06000043,5209,E07000065,1540,E07000228,1407,E06000043,2544,E07000065,2489,E07000061,1512
E07000064,37926,35829,19453,8243,0,105,E07000062,4129,E07000065,1379,E07000061,1237,E07000062,4451,E07000065,1336,E07000061,817
E07000065,74541,66964,39160,16031,0,174,E07000061,5410,E07000063,2489,E07000116,2356,E07000061,3879,E07000063,1540,E07000064,1379
E07000066,89021,89514,42903,23353,0,157,E06000034,3749,E07000070,2415,E07000068,2219,E06000034,3905,E07000069,3451,E06000033,2921
E07000067,76281,66618,35384,19302,0,109,E07000070,5405,E07000077,3584,E07000071,2736,E07000071,3031,E07000070,1701,E07000200,1101
E07000068,37899,38429,22036,5328,0,83,E09000016,1700,E07000066,1288,E07000070,919,E07000066,2219,E09000016,1820,E07000070,1373
E07000069,41017,32979,20153,6711,0,77,E07000066,3451,E06000033,3111,E06000034,1449,E06000033,1963,E07000075,1249,E07000066,1080
E07000070,89857,94771,47179,24622,0,188,E07000066,2755,E07000067,1701,E07000068,1373,E07000067,5405,E07000074,3085,E07000066,2415
E07000071,92015,92423,42210,32912,0,227,E07000076,3329,E07000067,3031,E07000070,1983,E07000076,6731,E07000067,2736,E07000200,1797
E07000072,65799,62385,36494,8786,0,130,E09000026,2261,E07000073,1882,E09000031,1681,E07000073,2540,E09000026,2239,E09000031,1470
E07000073,45990,42878,17982,14225,0,75,E07000242,2577,E07000072,2540,E07000095,1222,E07000242,2100,E07000072,1882,E07000077,1037
E07000074,31243,27167,15679,6514,0,58,E07000070,3085,E07000067,1097,E07000066,818,E07000070,1179,E07000071,1001,E07000067,998
E07000075,40659,34087,21672,4972,0,97,E06000033,5372,E07000066,2062,E07000069,1249,E06000033,3589,E07000069,1178,E07000066,856
